,layer,type,coords.x1,coords.x2,coords.x3
795,C,Tooth,3.3380000591,2.7920000553,-1.6119999886
796,C,Bone,3.6649999619,2.6510000229,-1.5559999943
797,C,Bone,3.6940000057,2.5710000992,-1.5609999895
798,C,Bone,3.9079999924,2.9579999447,-1.6180000305
799,C,Bone,3.7239999771,2.7769999504,-1.6180000305
800,C,Bone,3.9820001125,2.8550000191,-1.6469999552
801,C,Bone,3.4360001087,2.9110000134,-1.6109999418
802,C,Tooth,3.5529999733,2.9110000134,-1.5789999962
810,C,Bone,5.2115001678,2.4567000866,-1.5535999537
811,C,Lithic,5.2242999077,2.4251000881,-1.5513000488
812,C,Bone,5.1757001877,2.456799984,-1.5571000576
813,C,Bone,5.5604000092,2.3870000839,-1.5446000099
814,C,Bone,5.5441999435,2.3475999832,-1.5676000118
815,C,Bone,5.5022001266,2.3643000126,-1.5911999941
816,C,Bone,5.3330998421,2.3698000908,-1.6413999796
817,C,Bone,5.3685002327,2.3817000389,-1.6368000507
818,C,Bone,5.3585000038,2.4565999508,-1.6370999813
819,C,Bone,5.3585000038,2.4565999508,-1.6370999813
820,C,Bone,5.3772001266,2.4251999855,-1.6344000101
821,C,Bone,5.0025000572,2.7518000603,-1.6124000549
822,C,Bone,5.0521001816,2.5905001163,-1.6016999483
823,C,Bone,5.7316999435,2.2783999443,-1.6215000153
824,C,Tooth,5.665599823,2.2960999012,-1.6380000114
825,C,Tooth,5.1145000458,2.6157000065,-1.6109999418
826,C,Tooth,5.0552000999,2.6261000633,-1.6366000175
837,C,Bone,6.5668997765,2.1096999645,-1.5568000078
838,C,Bone,6.4446001053,2.0520999432,-1.5532000065
839,C,Bone,6.4960999489,2.035599947,-1.5499999523
840,C,Bone,6.440199852,2.4939000607,-1.6129000187
841,C,Bone,6.5448999405,2.070800066,-1.5843000412
842,C,Bone,6.4532999992,2.1826000214,-1.6200000048
843,C,Bone,6.5244002342,2.5950000286,-1.5829999447
844,C,Bone,6.5446000099,2.6454999447,-1.5863000154
845,C,Bone,6.12169981,2.1052000523,-1.6309000254
846,C,Bone,6.3516001701,2.2160999775,-1.6340999603
847,C,Bone,6.3369002342,2.1219000816,-1.6345000267
848,C,Bone,6.0581002235,2.1068000793,-1.6315000057
849,C,Bone,6.0107998848,2.1403000355,-1.6469999552
850,C,Bone,6.6676998138,2.1073000431,-1.6624000072
851,C,Bone,6.6350002289,2.5190000534,-1.5800000429
852,C,Bone,6.6339998245,2.4809999466,-1.5900000334
853,C,Bone,6.1999998093,2.4460000992,-1.5729999542
854,C,Bone,6.5040001869,2.5529999733,-1.6319999695
855,C,Bone,6.984000206,2.635999918,-1.6260000467
856,C,Bone,6.1519999504,2.4300000668,-1.6210000515
857,C,Bone,6.4660000801,2.5620000362,-1.6349999905
858,C,Bone,6.4650001526,2.5439999104,-1.6419999599
859,C,Bone,6.4289999008,2.6500000954,-1.6460000277
860,C,Bone,6.3090000153,2.4690001011,-1.6399999857
861,C,Bone,6.2270002365,2.3469998837,-1.6390000582
862,C,Tooth,6.2729997635,2.3399999142,-1.6339999437
870,C,Bone,7.6609997749,2.5469999313,-1.6119999886
871,C,Bone,7.7020001411,2.5299999714,-1.6080000401
872,C,Bone,7.8200001717,2.513999939,-1.5909999609
873,C,Lithic,7.881000042,2.4739999771,-1.6169999838
874,C,Bone,7.8070001602,2.6860001087,-1.55400002
875,C,Bone,7.896999836,2.6480000019,-1.5579999685
898,C,Bone,8.498000145,2.5280001163,-1.5989999771
899,C,Tooth,8.5830001831,2.5009999275,-1.6239999533
900,C,Bone,8.4090003967,2.2149999142,-1.5859999657
901,C,Bone,8.5839996338,2.1210000515,-1.5690000057
902,C,Tooth,8.498000145,2.2090001106,-1.6039999723
903,C,Bone,8.1129999161,2.1659998894,-1.574000001
904,C,Bone,8.0880002975,2.1779999733,-1.5779999495
905,C,Bone,8.1059999466,2.131000042,-1.6150000095
906,C,Bone,8.1190004349,2.1150000095,-1.6339999437
907,C,Bone,8.5570001602,2.1930000782,-1.6059999466
908,C,Bone,8.2080001831,2.4649999142,-1.5909999609
909,C,Bone,8.2760000229,2.6470000744,-1.5690000057
910,C,Bone,8.2589998245,2.6319999695,-1.5859999657
911,C,Bone,8.3400001526,2.4820001125,-1.5989999771
912,C,Tooth,6.5689997673,1.9750000238,-1.6069999933
917,C,Bone,8.4440002441,1.9279999733,-1.5850000381
918,C,Bone,8.3070001602,1.9400000572,-1.5939999819
919,C,Bone,8.267999649,1.9359999895,-1.5930000544
920,C,Bone,8.2239999771,1.9190000296,-1.6069999933
921,C,Bone,8.236000061,1.8999999762,-1.6239999533
922,C,Bone,8.1700000763,1.9309999943,-1.6369999647
923,C,Bone,8.4280004501,1.7929999828,-1.6230000257
937,C,Tooth,5.4422998428,2.2228000164,-1.6756999493
938,C,Bone,5.3067998886,2.2973999977,-1.7029999495
939,C,Bone,5.4958000183,2.3217999935,-1.6569000483
940,C,Bone,5.4883999825,2.4256999493,-1.6330000162
941,C,Bone,5.3376998901,2.568500042,-1.7015999556
942,C,Bone,5.4812002182,2.3596999645,-1.7244000435
943,C,Bone,5.0595998764,2.611000061,-1.6991000175
944,C,Bone,5.8329000473,2.2344999313,-1.6498999596
945,C,Bone,5.8428997993,2.2681000233,-1.6600999832
946,C,Bone,5.9134998322,2.0920000076,-1.6818000078
953,C,Bone,6.2820000648,2.378000021,-1.6180000305
954,C,Bone,6.2290000916,2.263999939,-1.67900002
955,C,Bone,6.3010001183,2.5940001011,-1.675999999
956,C,Bone,6.3229999542,2.6129999161,-1.6890000105
957,C,Bone,6.492000103,2.4670000076,-1.6519999504
958,C,Bone,6.609000206,2.618999958,-1.6579999924
959,C,Lithic,6.5809998512,2.5829999447,-1.6629999876
960,C,Tooth,6.5999999046,2.5959999561,-1.7009999752
961,C,Bone,6.1659998894,2.0750000477,-1.6909999847
962,C,Tooth,6.5349998474,2.2269999981,-1.7189999819
963,C,Bone,6.3819999695,2.1800000668,-1.7239999771
964,C,Bone,6.1929998398,2.4189999104,-1.7419999838
965,C,Bone,6.1880002022,2.0590000153,-1.7050000429
966,C,Bone,6.2259998322,2.010999918,-1.7359999418
967,C,Bone,6.5799999237,2.5780000687,-1.6519999504
968,C,Bone,6.1950001717,2.0510001183,-1.6900000572
969,C,Bone,6.3280000687,2.239000082,-1.6829999685
970,C,Bone,6.2230000496,2.3459999561,-1.6519999504
978,C,Tooth,7.6500000954,2.25,-1.7400000095
979,C,Bone,7.7388000488,2.2850999832,-1.7187000513
980,C,Bone,7.1452999115,2.484400034,-1.6857999563
981,C,Bone,7.1570000648,2.5297000408,-1.7163000107
982,C,Bone,7.4699997902,2.3083000183,-1.6480000019
983,C,Lithic,7.9470000267,2.1019999981,-1.6480000019
984,C,Tooth,7.9689998627,2.1949999332,-1.7089999914
985,C,Bone,7.771999836,2.5590000153,-1.6540000439
986,C,Bone,7.9180002213,2.6480000019,-1.682000041
987,C,Bone,7.6620001793,2.6300001144,-1.7180000544
988,C,Bone,7.978000164,2.7160000801,-1.6579999924
989,C,Bone,7.6820001602,2.6370000839,-1.699000001
990,C,Bone,7.6770000458,2.6760001183,-1.69599998
1000,C,Bone,8.4130001068,2.5250000954,-1.6529999971
1001,C,Tooth,8.3540000916,2.510999918,-1.6799999475
1002,C,Bone,8.4870004654,2.5269999504,-1.6720000505
1003,C,Tooth,8.5640001297,2.4820001125,-1.692999959
1004,C,Lithic,8.5719995499,2.5280001163,-1.6799999475
1005,C,Bone,8.5749998093,2.5360000134,-1.7009999752
1006,C,Bone,8.4779996872,2.367000103,-1.6469999552
1007,C,Bone,8.1780004501,2.0580000877,-1.6870000362
1012,C,Bone,8.3800001144,1.7250000238,-1.7280000448
1026,C,Bone,5.5009999275,2.2890000343,-1.7610000372
1027,C,Bone,5.0430002213,2.7709999084,-1.5130000114
1028,C,Bone,5.0520000458,2.5899999142,-1.6019999981
1029,C,Bone,5.7319998741,2.2780001163,-1.621999979
1030,C,Tooth,5.6659998894,2.2960000038,-1.6380000114
1031,C,Tooth,5.1149997711,2.6159999371,-1.6109999418
1032,C,Bone,5.0549998283,2.6259999275,-1.6369999647
1033,C,Bone,5.0599999428,2.611000061,-1.699000001
1034,C,Bone,5.8330001831,2.2339999676,-1.6499999762
1035,C,Bone,5.8429999352,2.263999939,-1.6599999666
1036,C,Bone,5.9130001068,2.0920000076,-1.682000041
1037,C,Bone,5.7179999352,2.2030000687,-1.7330000401
1038,C,Bone,5.2210001945,2.7279999256,-1.8339999914
1039,C,Bone,5.9580001831,2.0620000362,-1.8059999943
1040,C,Bone,5.6649999619,2.0390000343,-1.8769999743
1048,C,Bone,6.3260002136,2.0739998817,-1.7749999762
1049,C,Tooth,6.2950000763,2.3280000687,-1.7879999876
1050,C,Tooth,6.2940001488,2.3619999886,-1.8059999943
1051,C,Bone,6.3379998207,2.364000082,-1.8150000572
1052,C,Bone,6.234000206,2.2539999485,-1.8480000496
1053,C,Bone,6.2350001335,2.111000061,-1.8400000334
1054,C,Bone,6.228000164,2.135999918,-1.8400000334
1055,C,Bone,6.2179999352,2.1240000725,-1.8439999819
1056,C,Bone,6.2690000534,2.1600000858,-1.8320000172
1057,C,Bone,6.2789998055,2.1749999523,-1.8450000286
1058,C,Bone,6.2600002289,2.1510000229,-1.8480000496
1059,C,Bone,6.3400001526,2.0390000343,-1.8200000525
1060,C,Bone,6.3340001106,2.0759999752,-1.8350000381
1061,C,Lithic,6.5300002098,2.5409998894,-1.7480000257
1062,C,Bone,6.5069999695,2.0950000286,-1.8309999704
1063,C,Bone,6.2740001678,2.246999979,-1.8500000238
1064,C,Bone,6.4770002365,2.5369999409,-1.7280000448
1065,C,Bone,6.6399998665,2.5959999561,-1.7940000296
1074,C,Bone,8.2620000839,2.0499999523,-1.7580000162
1078,C,Bone,6.5100002289,1.8919999599,-1.7710000277
1079,C,Bone,6.632999897,1.9110000134,-1.7250000238
1081,C,Bone,8.5900001526,1.7009999752,-1.7569999695
1082,C,Bone,8.4879999161,1.6160000563,-1.756000042
1083,C,Tooth,8.5059995651,1.6449999809,-1.7669999599
1084,C,Tooth,8.4560003281,1.6499999762,-1.7619999647
1085,C,Bone,8.3599996567,1.6150000095,-1.8420000076
1086,C,Bone,8.3990001678,1.5759999752,-1.8400000334
1095,C,Bone,5.6649999619,2.0392000675,-1.8766000271
1096,C,Bone,5.2740001678,2.5510001183,-1.9060000181
1097,C,Bone,5.8509998322,2.138999939,-1.8669999838
1098,C,Bone,5.8340001106,2.1619999409,-1.8609999418
1099,C,Bone,5.7389998436,2.0269999504,-1.9010000229
1100,C,Bone,5.140999794,2.246999979,-1.9099999666
1101,C,Bone,5.8839998245,2.1489999294,-1.8960000277
1102,C,Bone,5.1750001907,2.2679998875,-1.9349999428
1103,C,Bone,5.2410001755,2.1989998817,-1.9409999847
1104,C,Bone,5.2729997635,2.3320000172,-1.9340000153
1105,C,Lithic,5.1220002174,2.5380001068,-1.92900002
1106,C,Bone,5.7490000725,2.1919999123,-1.9140000343
1107,C,Bone,5.734000206,2.003000021,-1.8999999762
1108,C,Bone,5.6009998322,2.2520000935,-1.9179999828
1111,C,Bone,6.4499998093,2.1619999409,-1.8489999771
1112,C,Bone,6.3400001526,2.242000103,-1.8559999466
1113,C,Bone,6.3260002136,2.3489999771,-1.8559999466
1114,C,Lithic,6.4200000763,2.1519999504,-1.8669999838
1116,C,Bone,7.618999958,2.4270000458,-1.8919999599
1117,C,Bone,7.4409999847,2.5199999809,-1.8869999647
1120,C,Bone,8.5740003586,2.367000103,-1.9299999475
1121,C,Bone,8.4750003815,2.739000082,-1.8890000582
1124,C,Bone,8.3879995346,1.5490000248,-1.8990000486
1125,C,Bone,8.3509998322,1.5659999847,-1.8550000191
1126,C,Bone,8.3920001984,1.5980000496,-1.8650000095
1127,C,Bone,8.373000145,1.557000041,-1.9359999895
1128,C,Bone,7.4159998894,2.5360000134,-1.9630000591
1129,C,Bone,7.5590000153,2.5669999123,-1.949000001
1130,C,Bone,7.521999836,2.5529999733,-2.007999897
1131,C,Bone,7.9250001907,2.4979999065,-1.996999979
1132,C,Bone,7.9429998398,2.4119999409,-2.003000021
1138,C,Tooth,8.4329996109,2.5360000134,-2.0090000629
1139,C,Bone,8.593000412,2.1579999924,-2.0050001144
1140,C,Lithic,8.6450004578,2.3880000114,-2.003000021
1141,C,Bone,8.7229995728,2.2320001125,-1.9609999657
1146,C,Bone,7.9349999428,2.5999999046,-2.0650000572
1147,C,Tooth,7.9759998322,2.5799999237,-2.0759999752
1148,C,Bone,7.9609999657,2.4800000191,-2.0769999027
1149,C,Bone,7.9559998512,2.4400000572,-2.0629999638
1150,C,Bone,7.8779997826,2.3599998951,-2.1180000305
1151,C,Bone,7.7230000496,2.3120000362,-2.0950000286
1152,C,Bone,7.8509998322,2.3080000877,-2.1380000114
1160,C,Bone,8.4809999466,2.0590000153,-2.0980000496
1161,C,Bone,8.6529998779,2.253000021,-2.0590000153
1162,C,Bone,8.6660003662,2.4900000095,-2.0690000057
1163,C,Bone,8.5469999313,2.2269999981,-2.0759999752
1164,C,Lithic,8.3999996185,2.2369999886,-2.0980000496
1165,C,Tooth,8.6140003204,2.2960000038,-2.0690000057
1166,C,Bone,8.6520004272,2.2330000401,-2.0799999237
1167,C,Bone,8.595000267,2.114000082,-2.0789999962
1168,C,Bone,8.5069999695,2.0090000629,-2.1029999256
1175,C,Tooth,7.5999999046,2.2750000954,-2.2230000496
1176,C,Bone,7.632999897,2.3329999447,-2.236000061
1177,C,Bone,7.6729998589,2.5380001068,-2.2000000477
1178,C,Bone,7.6710000038,2.388999939,-2.2269999981
1179,C,Bone,7.7699999809,2.3180000782,-2.1870000362
1180,C,Bone,7.7820000648,2.3039999008,-2.1530001163
1181,C,Tooth,7.7740001678,2.2990000248,-2.1589999199
1182,C,Bone,7.8410000801,2.3940000534,-2.2269999981
1183,C,Bone,8.5579996109,2.2430000305,-2.1989998817
1184,C,Bone,7.623000145,2.2760000229,-2.2509999275
1185,C,Bone,7.9320001602,2.8710000515,-0.9840000272
1190,C,Tooth,8.140999794,2.8190000057,-0.9480000138
1191,C,Bone,8.6020002365,2.5610001087,-0.9879999757
1192,C,Lithic,8.501999855,2.6979999542,-0.9629999995
1193,C,Bone,8.6040000916,2.6480000019,-0.9900000095
1194,C,Lithic,8.6579999924,2.5639998913,-1.0049999952
1195,C,Lithic,8.6199998856,2.6159999371,-1.0149999857
1211,C,Bone,8.5970001221,2.6530001163,-0.8590000272
1212,C,Lithic,8.6120004654,2.4930000305,-0.9399999976
1225,C,Bone,8.7449998856,2.5820000172,-0.8149999976
1226,C,Tooth,8.4390001297,2.6849999428,-0.8360000253
1227,C,Bone,8.3400001526,2.7149999142,-0.8220000267
1228,C,Bone,8.3760004044,2.7290000916,-0.8470000029
1229,C,Bone,8.0850000381,2.8039999008,-0.7960000038
1231,C,Lithic,8.1319999695,2.8169999123,-0.7419999838
3024,C,Micro,5.5,2.5,-1.2899999619
3025,C,Micro,5.5,2.5,-1.2899999619
3026,C,Micro,6.5,2.5,-1.2899999619
3027,C,Micro,6.5,2.5,-1.2899999619
3028,C,Micro,8.5,2.5,-1.2899999619
3029,C,Micro,5.5,2.5,-1.3899999857
3030,C,Micro,5.5,2.5,-1.3899999857
3031,C,Micro,5.5,2.5,-1.4900000095
3032,C,Micro,4.5152072193,2.8696524064,-1.5900000334
3033,C,Micro,5.5,2.5,-1.5900000334
3034,C,Micro,6.5,2.5,-1.5900000334
3035,C,Micro,8.4625668449,1.6965240642,-1.6900000572
3036,C,Micro,6.5,2.5,-1.7899999619
3037,C,Micro,6.5,2.5,-1.7899999619
